source,log_message
BillingSystem,"nova.compute.claims [req-afb5ee70-39d1-435e-9bf9-2fc3339c5b5b 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: 127e769a-4fe6-4548-93b1-513ac51e0452] vcpu limit not specified, defaulting to unlimited"
ModernHR,"nova.osapi_compute.wsgi.server [req-330a4477-cfaf-485f-a5e9-69e0e9be0a4f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1916 time: 0.3824501"
ModernHR,"nova.osapi_compute.wsgi.server [req-8e6482cd-ad01-4a71-92f9-2d218d014a8f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1916 time: 0.2944360"
ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-86997220-e959-4cef-8315-723f20d4f1de 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 1893 time: 0.2708549"
AnalyticsEngine,"nova.metadata.wsgi.server [req-3d7baa90-ec29-4386-a6c5-edd5ae651f45 - - - - -] 10.11.21.140,10.11.10.1 ""GET /openstack/2013-10-17/meta_data.json HTTP/1.1"" HTTP status code -  200 len: 967 time: 0.2314420"
BillingSystem,System reboot initiated by user User159.
ModernCRM,"nova.osapi_compute.wsgi.server [req-9d2c1d24-f157-464f-aa8c-17ebcdaac12b 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1910 time: 0.2577691"
ThirdPartyAPI,Service outage due to email delivery problem
ThirdPartyAPI,Backup ended at 2025-11-24 19:02:55.
BillingSystem,System reboot initiated by user User648.
BillingSystem,User 3330 account experienced multiple login failures
ModernHR,"nova.osapi_compute.wsgi.server [req-e6509c84-a275-459c-b564-25fdbaa58cdc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1759 time: 0.2789471"
ThirdPartyAPI,Backup completed successfully.
ModernHR,"nova.compute.claims [req-2d658d2c-7eff-414e-a68f-3f1c75c9e874 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: 7e7cc42f-3cb9-4d91-804c-f5a32d54f1c5] Total memory: 64172 MB, used: 512.00 MB"
ModernCRM,"nova.osapi_compute.wsgi.server [req-c4fe12ee-96d2-455a-bd90-4456a7878d04 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1910 time: 0.2752299"
ModernCRM,System component is not functioning: component ID Component3
BillingSystem,"nova.osapi_compute.wsgi.server [req-ea4a360f-b853-46fe-af72-7db91c3346ad 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Status code -  200 len: 1893 time: 0.2724142"
ModernHR,User 9202 has admin privileges escalated
ThirdPartyAPI,"nova.metadata.wsgi.server [req-5eee7c2e-9d80-4668-869d-1d8f70d9b074 - - - - -] 10.11.21.136,10.11.10.1 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" status: 200 len: 124 time: 0.2191730"
ModernCRM,"nova.osapi_compute.wsgi.server [req-0ed561a5-fdf2-4b23-ab40-0f283f3da54e 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1916 time: 0.2693460"
AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-25d4598c-81f0-4e79-87fd-228f3dc94aa7 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2755768"
AnalyticsEngine,Unfixable issue identified in essential system module
AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-4ce4f8fb-f692-4d80-b150-96bc30db03f0 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.2672279"
BillingSystem,"nova.metadata.wsgi.server [-] 10.11.21.135,10.11.10.1 ""GET /openstack/2013-10-17/user_data HTTP/1.1"" Status code -  404 len: 176 time: 0.0011439"
ModernHR,"nova.compute.claims [req-868a5460-dbb6-416b-b4c4-a98abae6c847 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] Total disk: 15 GB, used: 0.00 GB"
ModernCRM,Severe system crash found in core application component
ThirdPartyAPI,System reboot initiated by user User600.
ModernCRM,"nova.osapi_compute.wsgi.server [req-c00498e9-c4a0-4e46-b680-c8e4927369f7 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""DELETE /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/17288ea8-cbf4-4f0e-94fe-853fd2735f29 HTTP/1.1"" RCODE  204 len: 203 time: 0.2726481"
ThirdPartyAPI,"nova.metadata.wsgi.server [req-b1e650c2-d691-43dc-bd4b-43a1cc250f36 - - - - -] 10.11.21.128,10.11.10.1 ""GET /openstack/2012-08-10/meta_data.json HTTP/1.1"" Return code: 200 len: 264 time: 0.2413990"
ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-06631678-1e19-4e4e-bddf-a588d8ea6217 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""DELETE /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/78dc1847-8848-49cc-933e-9239b12c9dcf HTTP/1.1"" RCODE  204 len: 203 time: 0.2560370"
ModernHR,"nova.osapi_compute.wsgi.server [req-3e88afc7-0acc-498b-b3ab-9a74aad4e4fa f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -] 10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" status: 404 len: 296 time: 0.0880730"
BillingSystem,"nova.metadata.wsgi.server [req-c58fdf6b-7dad-448e-b06a-da2fd52415fc - - - - -] 10.11.21.143,10.11.10.1 ""GET /openstack/2013-10-17/user_data HTTP/1.1"" Return code: 404 len: 176 time: 0.2187860"
ThirdPartyAPI,Disk cleanup completed successfully.
ThirdPartyAPI,"nova.metadata.wsgi.server [-] 10.11.21.132,10.11.10.1 ""GET /openstack/2013-10-17 HTTP/1.1"" RCODE  200 len: 157 time: 0.0006261"
ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-3d954aae-f4f5-47a6-9cf8-a8e00beeab93 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2733018"
ThirdPartyAPI,"Server 31 has been flagged for suspicious activity, security review"
BillingSystem,Shard 11 data replication task was terminated
ThirdPartyAPI,User User132 logged in.
BillingSystem,Unapproved API login attempt from user 8007 recorded
ModernHR,"nova.osapi_compute.wsgi.server [req-4ca1aca1-840a-4512-b431-5533a9e02497 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1583 time: 0.1969190"
BillingSystem,Backup ended at 2025-08-06 22:28:29.
ModernHR,"nova.metadata.wsgi.server [-] 10.11.21.124,10.11.10.1 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" RCODE  200 len: 124 time: 0.0006270"
AnalyticsEngine,System reboot initiated by user User120.
BillingSystem,System configuration is experiencing errors
BillingSystem,"Warning: unusual patterns detected on server 2, security check advised"
ThirdPartyAPI,Invalid login attempt made on secured account Account9649
ThirdPartyAPI,Service health check failure was caused by an expired SSL certificate.
ThirdPartyAPI,Failed to replicate data for shard 4
AnalyticsEngine,Shard 6 data transfer failed
ModernHR,"nova.compute.claims [req-98474cd9-61e1-4afe-bd52-676a577b058f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: 70c1714b-c11b-4c88-b300-239afe1f5ff8] disk limit not specified, defaulting to unlimited"
ModernHR,"nova.osapi_compute.wsgi.server [req-1f89dbfb-bbfe-45ca-8162-110e3c405711 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Status code -  200 len: 1893 time: 0.2716691"
ModernHR,"nova.osapi_compute.wsgi.server [req-f632ae73-7d87-49f4-bdbf-3a0f06d197ed 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Status code -  200 len: 1893 time: 0.2486479"
ModernCRM,"nova.metadata.wsgi.server [req-fb8d5cd6-127f-4735-9c32-25567cf0d2d6 - - - - -] 10.11.21.140,10.11.10.1 ""GET /openstack/2012-08-10/meta_data.json HTTP/1.1"" Status code -  200 len: 264 time: 0.2175281"
AnalyticsEngine,File data_4085.csv uploaded successfully by user User222.
ThirdPartyAPI,User User187 logged in.
AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-0b5ced27-6fb3-449b-a87f-1d9beaae3f62 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1893 time: 0.2769639"
ThirdPartyAPI,Error in input format occurred during module X execution
AnalyticsEngine,User 4508 was unable to authenticate for API access
AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-96bb2855-71cc-4c4c-8ffb-03336d12219e 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.3673830"
BillingSystem,Admin privilege escalation alert for user 8532
ModernCRM,Backup completed successfully.
ThirdPartyAPI,"nova.compute.claims [req-5c8f52bd-8e3c-41f0-95a5-7861d247cafa 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: d96a117b-0193-4549-bdcc-63b917273d1d] Total memory: 64172 MB, used: 512.00 MB"
ModernHR,System configuration has been tampered with
BillingSystem,"Server 46 has been compromised, potential security risk"
ThirdPartyAPI,User User822 logged out.
AnalyticsEngine,SSL certificate validation errors resulted in a failed service health check.
ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-fc3464cd-8dd6-4fe9-a825-bb3b395eff72 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.2485340"
ModernCRM,"nova.osapi_compute.wsgi.server [req-2a3dc421-6604-42a7-9390-a18dc824d5d6 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2580249"
AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-22455aab-13cf-4045-92e8-65371ef51485 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1910 time: 0.2603891"
ModernHR,System component is not functioning: component ID Component29
ModernCRM,Abnormal shutdown of server 13 happened during data transfer
BillingSystem,Account with ID 1559 created by User136.
ThirdPartyAPI,Backup started at 2025-02-03 22:33:16.
AnalyticsEngine,IP 192.168.237.233 flagged for potential security threat
AnalyticsEngine,System updated to version 5.0.6.
ModernHR,Critical bug identified in main application module
ModernHR,Backup ended at 2025-08-18 12:18:47.
AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-694b3a2f-adf3-4093-9f3e-e97b12fc6bd3 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2678900"
ModernCRM,"nova.osapi_compute.wsgi.server [req-79b9f95a-26b4-4b98-9f57-1896c54a0a33 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1583 time: 0.2017291"
ModernHR,"nova.osapi_compute.wsgi.server [req-c825e8ea-d765-4f39-9175-93cb0321be3f 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Status code -  200 len: 1916 time: 0.2741730"
ModernCRM,Backup completed successfully.
ModernHR,API access denied due to unauthorized credentials for user 5914
BillingSystem,Unusual access attempt from 192.168.129.63 logged
BillingSystem,User User950 logged out.
ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-1162e278-3bf2-4b32-93b5-9c7ec218365e 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""POST /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers HTTP/1.1"" Return code: 202 len: 733 time: 0.5126011"
ModernHR,"nova.metadata.wsgi.server [-] 10.11.21.139,10.11.10.1 ""GET /latest/meta-data/local-hostname HTTP/1.1"" status: 200 len: 130 time: 0.0008819"
BillingSystem,System updated to version 2.0.5.
AnalyticsEngine,Critical system equipment failure: equipment ID Component10
BillingSystem,"nova.compute.claims [req-868a5460-dbb6-416b-b4c4-a98abae6c847 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] Total memory: 64172 MB, used: 512.00 MB"
ModernHR,"nova.osapi_compute.wsgi.server [req-8a5b19ff-20d8-40e7-94d3-29b89f9b6987 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -] 10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" RCODE  404 len: 296 time: 0.0831139"
ModernCRM,Detected an unauthorized data extraction request
BillingSystem,"nova.osapi_compute.wsgi.server [req-2828889b-97b9-4cc6-9cf7-44c8f4e856b9 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -] 10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" RCODE  404 len: 296 time: 0.0839748"
ThirdPartyAPI,User User247 logged in.
ModernCRM,nova.compute.resource_tracker [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB used_ram=2560MB phys_disk=15GB used_disk=20GB total_vcpus=16 used_vcpus=1 pci_stats=[]
ModernHR,"nova.osapi_compute.wsgi.server [req-ab451068-9756-4ad9-9d18-5ceaa6424627 f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -] 10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" status: 200 len: 380 time: 0.0913219"
ModernHR,nova.compute.resource_tracker [req-addc1839-2ed5-4778-b57e-5854eb7b8b09 - - - - -] Final resource view: name=cp-1.slowvm1.tcloud-pg0.utah.cloudlab.us phys_ram=64172MB used_ram=512MB phys_disk=15GB used_disk=0GB total_vcpus=16 used_vcpus=0 pci_stats=[]
ModernHR,"nova.metadata.wsgi.server [-] 10.11.21.130,10.11.10.1 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" status: 200 len: 124 time: 0.0006940"
ModernCRM,"nova.osapi_compute.wsgi.server [req-3e488ee5-f0f3-41b6-b0b1-894d043b6f5e 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2681561"
BillingSystem,Backup completed successfully.
BillingSystem,"nova.compute.claims [req-868a5460-dbb6-416b-b4c4-a98abae6c847 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: 17288ea8-cbf4-4f0e-94fe-853fd2735f29] vcpu limit not specified, defaulting to unlimited"
BillingSystem,"nova.metadata.wsgi.server [-] 10.11.21.133,10.11.10.1 ""GET /openstack/2013-10-17/meta_data.json HTTP/1.1"" status: 200 len: 967 time: 0.0011051"
ModernHR,Privilege elevation detected for user 6942
AnalyticsEngine,API access request from user 9714 was rejected due to invalid credentials
AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-ea4d9b17-3021-441c-a951-975ae6253a8b f7b8d1f1d4d44643b07fa10ca7d021fb e9746973ac574c6b8a9e8857f56a7608 - - -] 10.11.10.1 ""POST /v2/e9746973ac574c6b8a9e8857f56a7608/os-server-external-events HTTP/1.1"" status: 404 len: 296 time: 0.0890410"
ThirdPartyAPI,Disk cleanup completed successfully.
AnalyticsEngine,"nova.osapi_compute.wsgi.server [req-6e4f4f57-ce56-4885-956a-dc1235c5afb2 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 1893 time: 0.4072819"
ModernCRM,Account with ID 1977 created by User815.
ModernHR,Backup started at 2025-03-04 20:50:28.
ModernCRM,"nova.metadata.wsgi.server [-] 10.11.21.135,10.11.10.1 ""GET /latest/meta-data/placement/availability-zone HTTP/1.1"" Return code: 200 len: 120 time: 0.0008440"
BillingSystem,"Abnormal system behavior on server 43, potential security breach"
AnalyticsEngine,User User344 logged out.
BillingSystem,"nova.osapi_compute.wsgi.server [req-7ee56f12-b2ee-4eec-a767-d06435b1b2c6 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2796621"
BillingSystem,System reboot initiated by user User901.
ThirdPartyAPI,Backup ended at 2025-06-08 17:57:26.
BillingSystem,User User402 logged out.
AnalyticsEngine,"nova.compute.claims [req-d38f479d-9bb9-4276-9688-52607e8fd350 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: 95960536-049b-41f6-9049-05fc479b6a7c] memory limit: 96258.00 MB, free: 95746.00 MB"
BillingSystem,"nova.osapi_compute.wsgi.server [req-11fa0afd-fbbf-4d33-b4a3-eadb918ccd07 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1583 time: 0.1875880"
ModernHR,"nova.osapi_compute.wsgi.server [req-243447da-80ee-4808-8d5d-11bd590c2711 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1893 time: 0.2768469"
ModernCRM,User User167 logged in.
AnalyticsEngine,"nova.compute.claims [req-caeb3818-dab6-4e8d-9ea6-aceb23905ebc 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: 78dc1847-8848-49cc-933e-9239b12c9dcf] Total disk: 15 GB, used: 0.00 GB"
ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-5e914d03-3281-48b4-9dee-bf7664c6b59c 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 1893 time: 0.2578239"
ThirdPartyAPI,User 4373 has escalated admin privileges without authorization
BillingSystem,"nova.osapi_compute.wsgi.server [req-3f8eee6a-941b-44e5-af74-fb97a076217a 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.2812061"
AnalyticsEngine,Account with ID 4585 created by User485.
ModernHR,"nova.metadata.wsgi.server [req-57347641-fcb9-4d81-a320-5b050607d370 - - - - -] 10.11.21.135,10.11.10.1 ""GET /openstack/2013-10-17/meta_data.json HTTP/1.1"" RCODE  200 len: 967 time: 0.2257981"
BillingSystem,User User919 logged out.
ThirdPartyAPI,Admin privilege misuse detected for user 3117
ModernCRM,"nova.compute.claims [req-97fcea79-42f7-4241-9b9e-63fe193c1929 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: b562ef10-ba2d-48ae-bf4a-18666cba4a51] Total disk: 15 GB, used: 0.00 GB"
BillingSystem,Error in email delivery affected service
ModernHR,Account with ID 6661 created by User556.
ThirdPartyAPI,"nova.osapi_compute.wsgi.server [req-1c33bdb8-a945-437c-a2a4-836c25c502ef 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1893 time: 0.4467819"
BillingSystem,"nova.osapi_compute.wsgi.server [req-16984fba-a60d-4234-9a5c-2f5f9bb45081 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Status code -  200 len: 211 time: 0.1063731"
ModernCRM,API security system detected suspicious activity from user 4239
ThirdPartyAPI,"nova.metadata.wsgi.server [-] 10.11.21.132,10.11.10.1 ""GET /latest/meta-data/reservation-id HTTP/1.1"" status: 200 len: 127 time: 0.0007050"
ModernHR,Possible malware activity from 192.168.71.185 detected
ModernCRM,"nova.osapi_compute.wsgi.server [req-9d415292-078d-4325-9e67-e1ed14e1c957 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1583 time: 0.1959479"
AnalyticsEngine,Backup completed successfully.
BillingSystem,Unexpected server 40 downtime occurred during data validation
ModernCRM,Security breach suspected from IP address 192.168.89.160
ModernHR,Boot process was stopped by kernel malfunction
ModernCRM,Error replicating data to shard 17
AnalyticsEngine,"nova.compute.claims [req-d6986b54-3735-4a42-9074-0ba7d9717de9 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: af5f7392-f7d4-4298-b647-c98924c64aa1] disk limit not specified, defaulting to unlimited"
ModernCRM,"nova.osapi_compute.wsgi.server [req-e2e335d1-99eb-4702-aa0a-111f1dc7cd93 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1759 time: 0.2809780"
ModernCRM,"nova.osapi_compute.wsgi.server [req-19db83be-773c-4b1c-8615-7f1bf20500fa 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1893 time: 0.2618630"
ModernHR,"nova.metadata.wsgi.server [-] 10.11.21.132,10.11.10.1 ""GET /latest/meta-data/block-device-mapping/ami HTTP/1.1"" RCODE  200 len: 119 time: 0.0010529"
ModernHR,Backup started at 2025-09-15 18:27:39.
AnalyticsEngine,"nova.metadata.wsgi.server [req-89097afe-bee0-455e-8b96-cf6531c50564 - - - - -] 10.11.21.129,10.11.10.1 ""GET /openstack/2012-08-10/meta_data.json HTTP/1.1"" Return code: 200 len: 264 time: 0.2234900"
ModernHR,"nova.osapi_compute.wsgi.server [req-a40c78d6-9f83-4945-86c5-11d623eb41b7 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 1893 time: 0.2620499"
ModernHR,"nova.metadata.wsgi.server [req-db4ae65d-6aab-4be6-abbd-59fbb9dae569 - - - - -] 10.11.21.141,10.11.10.1 ""GET /openstack/2013-10-17/vendor_data.json HTTP/1.1"" Return code: 200 len: 124 time: 0.2228522"
AnalyticsEngine,System reboot initiated by user User876.
BillingSystem,Unscheduled reboot of server 38 occurred during data synchronization
AnalyticsEngine,"nova.metadata.wsgi.server [req-3169ebb5-1055-4017-a172-e8da7500e084 - - - - -] 10.11.21.137,10.11.10.1 ""GET /openstack/2012-08-10/meta_data.json HTTP/1.1"" Return code: 200 len: 264 time: 0.2397351"
